Label,Page,Addr,NumBytes,RegOffset,RegScale,ReadLen,ReadFlag,WriteFlag,TwosCompl,Default,CalReg,HIDDEN,BURSTMODE
STATUS,0,2,2,0,1,16,TRUE,FALSE,FALSE,none,FALSE,FALSE,0
XGYRO_OUT,0,4,4,0,1,32,TRUE,FALSE,TRUE,none,FALSE,FALSE,
XGYRO_UPR,0,6,2,0,1,16,TRUE,FALSE,TRUE,none,FALSE,FALSE,1
YGYRO_OUT,0,8,4,0,1,32,TRUE,FALSE,TRUE,none,FALSE,FALSE,
YGYRO_UPR,0,10,2,0,1,16,TRUE,FALSE,TRUE,none,FALSE,FALSE,2
ZGYRO_OUT,0,12,4,0,1,32,TRUE,FALSE,TRUE,none,FALSE,FALSE,
ZGYRO_UPR,0,14,2,0,1,16,TRUE,FALSE,TRUE,none,FALSE,FALSE,3
XACCL_OUT,0,16,4,0,1,32,TRUE,FALSE,TRUE,none,FALSE,FALSE,
XACCL_UPR,0,18,2,0,1,16,TRUE,FALSE,TRUE,none,FALSE,FALSE,4
YACCL_OUT,0,20,4,0,1,32,TRUE,FALSE,TRUE,none,FALSE,FALSE,
YACCL_UPR,0,22,2,0,1,16,TRUE,FALSE,TRUE,none,FALSE,FALSE,5
ZACCL_OUT,0,24,4,0,1,32,TRUE,FALSE,TRUE,none,FALSE,FALSE,
ZACCL_UPR,0,26,2,0,1,16,TRUE,FALSE,TRUE,none,FALSE,FALSE,6
TEMP_OUT,0,28,2,0,1,16,TRUE,FALSE,TRUE,none,FALSE,FALSE,7
TIME_STAMP,0,30,2,0,1,16,TRUE,FALSE,FALSE,none,FALSE,FALSE,8
BM_CHECKSUM,0,28,2,0,1,16,TRUE,FALSE,FALSE,none,FALSE,FALSE,9
DATA_CNTR,0,34,2,0,1,16,TRUE,FALSE,FALSE,none,FALSE,FALSE,
X_DLTA_ANGLE,0,36,4,0,1,32,TRUE,FALSE,TRUE,none,FALSE,FALSE,
X_DLTA_ANGLE,0,38,2,0,1,16,TRUE,FALSE,TRUE,none,FALSE,FALSE,
Y_DLTA_ANGLE,0,40,4,0,1,32,TRUE,FALSE,TRUE,none,FALSE,FALSE,
Y_DLTA_ANGLE,0,42,2,0,1,16,TRUE,FALSE,TRUE,none,FALSE,FALSE,
